Event Name,Venue Name,Event Date,Section,Row,Notes,Stock Type,Quantity,Price
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",123,30,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,4,128.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",104,24,Xfer Mobile Entry. Scan your tickets from your mobile phone for this event. Do not print these tickets,Electronic Transfer,2,135.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",123,31,Seats 3 - 4. TMX XFER,Electronic Transfer,2,143.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",124,34,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,147.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",116,17,Seats 5 - 8. Mobile Entry Tickets. Must have smart device on hand to enter event.,Electronic Transfer,4,149.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",101,37,XFER,Electronic Transfer,2,150.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",306,1,"XFER, XFER",Electronic Transfer,4,152.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",310,4,"XFER, XFER",Electronic Transfer,4,152.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",327,3,"XFER, XFER",Electronic Transfer,2,154.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",101,32,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,164.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",121,25,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,165.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",114,28,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,169.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",312,10,mobile,Electronic Transfer,3,170.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",122,37,mobile,Electronic Transfer,2,171.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",109,24,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER ADA accessible.,Electronic Transfer,2,177.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",122,32,mobile,Electronic Transfer,2,179.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",114,19,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,180.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",109,28,"XFER, XFER",Electronic Transfer,2,185.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",115,28,mobile,Electronic Transfer,2,187.00
